movie,studio,foreign_gross,year,id_x,release_date_x,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,popularity,release_date_y,title,vote_average,vote_count,parsed_genres
The Ghost Writer,Sum.,44700000.0,2010,11,2010-02-19,45000000,15541549,65532491,252,"[53, 9648]",11439,en,7.829,2010-02-12,The Ghost Writer,6.8,1135,"[53, 9648]"
Morning Glory,Par.,29000000.0,2010,73,2010-11-10,40000000,31011732,59795070,113,"[35, 18, 10749]",38357,en,10.595,2010-11-10,Morning Glory,6.3,717,"[35, 18, 10749]"
Remember Me,Sum.,37000000.0,2010,51,2010-03-12,16000000,19068240,56506120,92,"[18, 10749]",23169,en,11.453,2010-03-12,Remember Me,7.1,2079,"[18, 10749]"
Cop Out,WB,10700000.0,2010,99,2010-02-26,37000000,44875481,55909910,185,"[28, 35, 80]",23742,en,8.82,2010-02-26,Cop Out,5.4,796,"[28, 35, 80]"
The Crazies,Over.,15700000.0,2010,36,2010-02-26,19000000,39123589,56445534,78,"[9648, 27, 28]",29427,en,12.245999999999999,2010-02-26,The Crazies,6.2,1036,"[9648, 27, 28]"
The Switch,Mira.,22100000.0,2010,39,2010-08-20,19000000,27758465,49858465,260,"[35, 10749, 18]",41210,en,7.745,2010-08-20,The Switch,6.1,1008,"[35, 10749, 18]"
She's Out of My League,Par.,17800000.0,2010,62,2010-03-12,20000000,32010860,48680977,256,"[35, 10749]",34016,en,7.775,2010-03-12,She's Out of My League,6.1,970,"[35, 10749]"
Charlie St. Cloud,Uni.,17000000.0,2010,31,2010-07-30,44000000,31206263,48478084,155,"[18, 10749]",37950,en,9.454,2010-05-01,Charlie St. Cloud,6.9,1398,"[18, 10749]"
The Spy Next Door,LGF,20900000.0,2010,68,2010-01-15,28000000,24307106,46752858,107,"[28, 35, 10751]",23172,en,10.745999999999999,2010-01-15,The Spy Next Door,5.7,650,"[28, 35, 10751]"
Machete,Fox,17500000.0,2010,18,2010-09-03,12500000,26593646,46370970,69,"[28, 35, 53]",23631,en,12.557,2010-09-03,Machete,6.3,1862,"[28, 35, 53]"
Going the Distance,WB (NL),24200000.0,2010,11,2010-09-03,32000000,17804299,43603990,220,"[35, 18, 10749]",38073,en,8.281,2010-09-03,Going the Distance,6.0,394,"[35, 18, 10749]"
For Colored Girls,LGF,17300.0,2010,67,2010-11-05,21000000,37729698,38017873,635,[18],44944,en,2.858,2010-11-05,For Colored Girls,6.8,33,[18]
Furry Vengeance,Sum.,18600000.0,2010,17,2010-04-30,35000000,17630465,39340177,156,"[35, 10751]",35169,en,9.45,2010-04-02,Furry Vengeance,4.6,283,"[35, 10751]"
Faster,CBS,12400000.0,2010,53,2010-11-24,24000000,23240020,35792945,44,"[80, 18, 28, 53]",41283,en,14.172,2010-11-23,Faster,6.2,895,"[80, 18, 28, 53]"
